Tryk hPa,Temperatur C,M�ling nr.,Afstand fra overflade (1m +),pC,nc
1013.3,23,1,1.5 ,1721,17.21
1013.3,24.0,2,1.7 ,1776,17.76
1013.9,24.0,3,1.9 ,1815,18.15
,,4,2.1 ,1842,18.42
,,5,2.3 ,1864,18.64
,,6,2.5 ,1875,18.75
,,7,2.7 ,1883,18.83
,,8,2.9 ,1884,18.84
,,9,3.1 ,1885,18.85
,,10,3.3 ,1880,18.80
,,11,3.5 ,1876,18.76
,,12,3.7 ,1867,18.67
,,13,3.9 ,1860,18.60
,,14,4.1 ,1849,18.49
,,15,4.3 ,1840,18.40
,,16,4.8 ,1805,18.05
,,17,5.3 ,1773,17.73
,,18,5.8 ,1737,17.37
,,19,6.3 ,1701,17.01
,,20,6.8 ,1667,16.67
,,21,7.3 ,1636,16.36
,,22,7.8 ,1600,16.00
,,23,8.3 ,1569,15.69
,,24,8.8 ,1535,15.35
,,25,9.3 ,1505,15.05 
,,26,9.8,1472,14.72
,,27,10.3 ,1442,14.42
,,28,11.3 ,1381,13.81
,,29,12.3 ,1324,13.24
,,30,13.3 ,1267,12.67
,,31,14.3 ,1215,12.15
,,32,15.3 ,1161,11.61
